userId,movieId,rating,timestamp
1,1,4,1217897793
1,2,1.5,1217895807
1,3,4,1217896246
1,4,4,1217896556
1,5,4,1217896523
1,6,4,1217896150
1,7,3,1217895940
1,8,4,1217897864
1,9,3,1217897135
1,10,0.5,1217895786
1,11,4,1217897795
1,12,0.5,1217895764
1,13,4.5,1217895864
1,14,1.5,1217895750
1,15,0.5,1217895772
1,16,4,1217896125
1,17,4,1217895860
1,18,4.5,1217897058
1,19,3,1217896231
1,20,2.5,1217896373
1,21,3,1217896030
1,22,4,1217896015
1,23,3.5,1217895972
1,24,4.5,1217896341
1,25,3.5,1217896078
1,26,3.5,1217896038
1,27,2.5,1217896043
1,28,5,1217895932
1,29,3,1217897176
1,30,3.5,1217896319
1,31,3.5,1217896397
1,32,0.5,1217895799
1,33,3.5,1217895794
1,34,3,1217896621
1,35,3.5,1217895969
1,36,5,1217896428
1,37,5,1217897623
1,38,4.5,1217897263
1,39,4,1217895811
1,40,4.5,1217897621
1,41,5,1217897630
1,42,4.5,1217896095
1,43,4,1217896450
1,44,4.5,1217895912
1,45,5,1217897617
1,46,4,1217897823
1,47,5,1217897613
1,48,5,1217897625
1,49,4.5,1217897648
1,50,3.5,1217897427
1,51,4.5,1217897678
1,52,3,1217897107
1,53,4,1217895768
1,54,3,1217897006
1,55,4.5,1217897783
1,56,3.5,1217896279
1,57,3.5,1217896636
1,58,1.5,1217896210
1,59,1.5,1217897087
1,60,3,1217897157
1,61,4,1217895796
1,62,4.5,1217896291
1,63,1.5,1217895783
1,64,1.5,1217895776
1,65,4.5,1217897671
1,66,4,1217897010
1,67,2.5,1217895736
1,68,2,1217895762
1,69,4.5,1217897780
1,70,4,1217897700
1,71,4.5,1217897667
1,72,4.5,1217895908
1,73,3,1217896237
1,74,3.5,1217896417
1,75,5,1217897681
1,76,3,1217896143
1,77,4,1217896098
1,78,3.5,1217895742
1,79,5,1217896334
1,80,5,1217895803
1,81,4.5,1217895728
1,82,4,1217896402
1,83,4.5,1217897657
1,84,3.5,1217897174
1,85,3.5,1217897841
1,86,3.5,1217897858
1,87,5,1217897697
1,88,4,1217895903
1,89,3.5,1217896313
1,90,4.5,1217895872
1,91,4,1217896614
1,92,3,1217896286
1,93,3.5,1217897078
1,94,4,1217896980
1,95,3.5,1217895979
1,96,4.5,1217896346
1,97,4.5,1217896386
1,98,3.5,1217896498
1,99,4,1217897777
1,100,4.5,1217896065
1,101,2.5,1217896490
1,102,4,1217896012
1,103,4.5,1217896582
1,104,4.5,1217896473
1,105,4.5,1217896007
1,106,4.5,1217897409
1,107,0.5,1217897813
1,108,5,1217896206
1,109,4,1217897632
1,110,3.5,1217896576
1,111,3.5,1217897820
1,112,4,1217896447
1,113,0.5,1217896004
2,114,5,859046895
2,115,2,859046959
2,116,3,859046959
2,117,4,859047091
2,118,5,859046896
2,119,3,859046896
2,120,3,859046895
2,121,5,859046959
2,122,4,859047004
2,123,4,859047004
2,124,5,859046896
2,125,4,859047091
2,126,4,859046895
2,127,3,859047004
2,128,4,859047004
2,129,4,859047004
2,130,4,859046959
2,131,5,859046959
2,132,3,859047091
2,133,4,859046895
2,134,4,859047091
2,135,4,859046895
2,136,4,859046895
2,137,2,859047004
2,138,4,859047004
2,139,4,859047091
2,140,5,859047091
2,141,4,859046959
2,142,4,859047091
3,143,3,841483936
3,144,3,841484087
3,145,4,841483689
3,146,5,841483620
3,147,5,841483604
3,148,4,841483842
3,149,4,841483634
3,150,5,841483936
3,151,4.5,841483620
3,152,4,841483842
3,153,3,841483766
3,154,4,841484203
3,155,4,841483462
3,156,3,841483481
3,157,3,841483561
3,158,5,841483950
3,159,5,841483859
3,160,4,841484075
3,161,5,841483900
3,162,3,841483782
3,163,5,841483888
3,164,4,841483859
3,165,3,841484049
3,166,3,841483527
3,167,5,841483462
3,168,4,841483584
3,169,3,841483545
3,170,5,841483916
3,171,5,841484049
3,172,3,841484174
3,173,3,841483481
3,174,5,841483677
3,175,3,841483545
3,176,4,841483677
3,177,4,841483604
3,178,3,841483822
3,179,3,841484220
3,180,3,841483604
3,181,3,841483463
